 ,X,Y
1,846.000,5123.000
2,3018.276,666.178
3,5213.069,5078.235
4,2284.182,5078.235
5,2478.941,4965.874
6,4022.038,5063.253
7,5138.161,4995.837
8,4014.547,4613.808
9,4344.141,3632.519
10,4224.289,3213.036
11,1984.551,3752.371
12,1400.272,4022.038
13,2066.950,2673.701
14,2134.367,2591.303
15,2718.646,1512.634
16,2636.248,1512.634
17,2890.933,1340.346
18,2793.553,1295.401
19,2860.970,1272.929
20,2748.609,1272.929
21,2905.915,1220.494
22,2950.859,1183.040
23,3153.110,1310.383
24,3205.545,1242.966
25,3265.471,1280.420
26,3220.527,1123.114
27,3154.500,1120.167
28,3113.167,1117.500
29,3006.500,1106.833
30,3015.833,1122.833
31,2837.167,1160.167
32,2783.833,1209.500
33,2902.500,1113.500
34,3145.167,1053.500
35,3194.500,1082.833
36,3033.167,993.167
37,2954.500,989.167
38,2866.500,1046.500
39,3038.500,862.500
40,3070.500,806.500
41,2989.167,821.167
