 ,X,Y
1,392.000,5288.000
2,2927.500,559.500
3,5183.500,5271.500
4,5063.500,5119.500
5,3207.500,5239.500
6,2727.500,5039.500
7,1079.500,5231.500
8,2367.500,4655.500
9,1527.500,3847.500
10,1151.500,3959.500
11,4127.500,4367.500
12,4343.500,4615.500
13,4871.500,4695.500
14,4815.500,4599.500
15,4479.500,3951.500
16,4255.500,3935.500
17,4199.500,3975.500
18,4287.500,3727.500
19,4255.500,3495.500
20,3823.500,3751.500
21,3727.500,3063.500
22,3367.500,3023.500
23,1839.500,3023.500
24,1815.500,2751.500
25,2023.500,2671.500
26,2439.500,2447.500
27,3439.500,2543.500
28,3703.500,2527.500
29,3951.500,2791.500
30,2239.500,2167.500
31,2287.500,2063.500
32,2319.500,1991.500
33,2375.500,1679.500
34,2591.500,1511.500
35,2607.500,1303.500
36,2663.500,1167.500
37,2743.500,1215.500
38,2743.500,1063.500
39,2903.500,1007.500
40,2783.500,927.500
41,2831.500,863.500
42,2935.500,871.500
43,3047.500,951.500
44,3311.500,1551.500
45,3167.500,1567.500
46,2919.500,639.500
