FileName    Courtsship_initiation Copulation_initiation
1__2019-09-10_at_14-03-29_1 63 10000
1__2019-09-10_at_14-03-29_2 400 5451
1__2019-12-31_at_10-31-11_1 558 4964
1__2019-12-31_at_10-31-11_2 548 6709
1__2019-12-31_at_11-15-49_1 1 5406
1__2019-12-31_at_11-15-49_2 1187 10000
A_csplusw1118_no_food_1__2020-11-17_at_12-09-27__1 696 4719
A_CSplusw1118_normal_1__2019-11-12_at_11-24-29__2 1 8890
A_CSplusw1118_normal_1__2019-11-12_at_11-59-41__2 1456 3819
A_CSplusw1118_normal_1__2019-11-12_at_13-51-21__1 67 367
A_CSplusw1118_normal_1__2019-11-12_at_14-16-13__1 10 5992
A_CSplusw1118_normal_1__2019-11-12_at_14-16-13__2 51 1731
A_CSplusw1118_normal_1__2019-11-12_at_16-21-47__1 1340 3292
